link,link-href,text,1
Industrial Age,https://en.wikipedia.org/wiki/Industrial_Revolution,"The rapid industrialisation of the English economy cost many craft workers their jobs. The movement start first with lace and hosiery workers near Nottingham and spread to other areas of the textile industry owe to early industrialisation. Many weavers also find themselves suddenly unemployed since they could no longer compete with machines which only require relatively limited( and unskilled) labour to produce more cloth than a single weaver. Many such unemployed workers, weavers and others, turn their animosity towards the machines that have take their jobs and begin destroy factories and machinery. These attackers become know as Luddites, supposedly followers of Ned Ludd, a folklore figure. The first attacks of the Luddite movement begin in 1811. The Luddites rapidly gain popularity, and the British government take drastic measures, use the militia or army to protect industry. Those rioters who be catch be try and hang, or transport for life.",0
Industrial Age,https://en.wikipedia.org/wiki/Industrial_Revolution,"The main method the unions used to effect change was strike action. Many strikes were painful events for both sides, the unions and the management. In Britain, the Combination Act 1799 forbade workers to form any kind of trade union until its repeal in 1824. Even after this, unions were still severely restricted.",1
Industrial Age,https://en.wikipedia.org/wiki/Industrial_Revolution,"Coal mining was very dangerous owing to the presence of firedamp in many coal seams. Some degree of safety was provided by the safety lamp which was invented in 1816 by Sir Humphry Davy and independently by George Stephenson. However, the lamps proved a false dawn because they became unsafe very quickly and provided a weak light. Firedamp explosions continued, often setting off coal dust explosions, so casualties grew during the entire 19th century. Conditions of work were very poor, with a high casualty rate from rock falls.",1
Theories/sociology,https://en.wikipedia.org/wiki/Sociology_of_the_history_of_science,"Available methods of communication have improved tremendously over time. Instead of waiting months or years for a hand-copied letter to arrive, today scientific communication can be practically instantaneous. Earlier, most natural philosophers worked in relative isolation, due to the difficulty and slowness of communication. Still, there was a considerable amount of cross-fertilization between distant groups and individuals.",1
Classical antiquity,https://en.wikipedia.org/wiki/Outline_of_classical_studies,Ancient Greek society,0
Astronomy,https://en.wikipedia.org/wiki/History_of_astronomy,"The precise orientation of the Egyptian pyramids affords a lasting demonstration of the high degree of technical skill in watching the heavens attained in the 3rd millennium BC. It has been shown the Pyramids were aligned towards the pole star, which, because of the precession of the equinoxes, was at that time Thuban, a faint star in the constellation of Draco.[30] Evaluation of the site of the temple of Amun-Re at Karnak, taking into account the change over time of the obliquity of the ecliptic, has shown that the Great Temple was aligned on the rising of the midwinter sun.[31] The length of the corridor down which sunlight would travel would have limited illumination at other times of the year.",1
Economics,https://en.wikipedia.org/wiki/History_of_economic_thought,"Locke argued that not only should the government cease interference with people's property (or their ""lives, liberties and estates""), but also that it should positively work to ensure their protection. His views on price and money were laid out in a letter to a Member of Parliament in 1691 entitled Some Considerations on the Consequences of the Lowering of Interest and the Raising of the Value of Money (1691), arguing that the ""price of any commodity rises or falls, by the proportion of the number of buyers and sellers"", a rule which ""holds universally in all things that are to be bought and sold.""[22]",1
Transport,https://en.wikipedia.org/wiki/History_of_transport,"The modern history of road transport also involves the development of new vehicles such as new models of horse-drawn vehicles, bicycles, motor cars, motor trucks and electric vehicles.",1
agricultural science,https://en.wikipedia.org/wiki/History_of_agricultural_science,"Agronomy and the related disciplines of agricultural science today be very different from what they be before about 1950. Intensification of agriculture since the 1960s in develop and develop countries, often refer to as the Green Revolution, be closely tie to progress make in select and improve crops and animals for high productivity, as well as to develop additional inputs such as artificial fertilizers and phytosanitary products.",0
Asia,https://en.wikipedia.org/wiki/History_of_Asia,"Postclassical China saw the rise and fall of the Sui, Tang, Song, and Yuan dynasties and therefore improvements in its bureaucracy, the spread of Buddhism, and the advent of Neo-Confucianism. The Middle Ages were an unsurpassed era for Chinese ceramics and painting. Medieval architectural masterpieces the Great South Gate in Todaiji, Japan, and the Tien-ning Temple in Peking, China are some of the surviving constructs from this era.",1
